"ACQUIRING_INSTITUTION","ST"
" AloStar Bank of Commerce "," AL "
" Beal Bank "," AL "
" Branch Banking and Trust Company "," AL "
" IBERIABANK "," AL "
" Southern States Bank "," AL "
" Superior Bank,  
    National Association "," AL "
" Delta Trust and Bank "," AR "
" Pulaski Bank  
      and Trust Company "," AR "
" Southern Bank "," AR "
" Commerce Bank of Arizona "," AZ "
" Enterprise Bank and Trust "," AZ "
" First Fidelity Bank, 
National Association "," AZ "
" First Scottsdale Bank, 
National Association "," AZ "
" MidFirst Bank "," AZ "
" No Acquirer "," AZ "
" Stearns Bank,  
    N.A."," AZ "
" Sunwest Bank "," AZ "
" The Foothills Bank "," AZ "
" U.S.Bank N.A."," AZ "
" Washington Federal "," AZ "
" Western State Bank "," AZ "
"  
    Union  
      Bank,  
      N.A."," CA "
" Bank of Marin "," CA "
" Beal Bank "," CA "
" California Bank and Trust "," CA "
" Center Bank "," CA "
" Citizens Business Bank "," CA "
" City National Bank "," CA "
" East West Bank "," CA "
" First - Citizens Bank and Trust Company "," CA "
" First California Bank "," CA "
" Grandpoint Bank "," CA "
" Mutual of Omaha Bank "," CA "
" No Acquirer "," CA "
" OneWest Bank,  
      FSB "," CA "
" Pacific Premier Bank "," CA "
" Pacific Western Bank "," CA "
" Rabobank,  
    N.A."," CA "
" Sunwest Bank "," CA "
" Tri Counties Bank "," CA "
" U.S.Bank N.A."," CA "
" U.S.Bank,  
      N.A."," CA "
" Westamerica Bank "," CA "
" Wilshire State Bank "," CA "
" Bank Midwest,  
    N.A."," CO "
" First - Citizens Bank and Trust Company "," CO "
" Herring Bank "," CO "
" Legacy Bank "," CO "
" No Acquirer "," CO "
" Points West Community Bank "," CO "
" Hudson United Bank "," CT "
" No Acquirer "," CT "
" 1st United Bank "," FL "
" American Momentum Bank "," FL "
" Ameris Bank "," FL "
" Banesco USA "," FL "
" Bank Leumi USA "," FL "
" Bank of the Ozarks "," FL "
" BankUnited "," FL "
" Bay Cities Bank "," FL "
" C1 Bank "," FL "
" Centennial Bank "," FL "
" CenterState Bank of Florida,  
      N.A."," FL "
" CenterState Bank of Florida,  
    N.A."," FL "
" Central Bank "," FL "
" CharterBank "," FL "
" EverBank "," FL "
" Fifth Third Bank "," FL "
" First Federal Bank of Florida "," FL "
" First National Bank of the Gulf Coast "," FL "
" First Southern Bank "," FL "
" FirstAtlantic Bank "," FL "
" Florida Community Bank,  
    a division of Premier American Bank,  
    N.A."," FL "
" Hancock Bank "," FL "
" Hancock Bank of Florida "," FL "
" Harbor Community Bank "," FL "
" IBERIABANK "," FL "
" Israel Discount Bank of New York "," FL "
" NAFH National Bank "," FL "
" Premier American Bank,  
    N.A."," FL "
" Sabadell United Bank,  
    N.A."," FL "
" SmartBank "," FL "
" Stearns Bank N.A."," FL "
" Stearns Bank,  
      N.A."," FL "
" Stonegate Bank "," FL "
" Summit Bank "," FL "
" SunTrust Bank "," FL "
" TIB Bank "," FL "
" Ameris Bank "," GA "
" Bank of Essex "," GA "
" Bank of North Georgia "," GA "
" Bank of the Ozarks "," GA "
" BankSouth "," GA "
" Branch Banking and Trust Company,  
      (BB and T) "," GA "
" Century Bank of Georgia "," GA "
" CertusBank, 
National Association "," GA "
" CertusBank,  
    National Association "," GA "
" CharterBank "," GA "
" Citizens South Bank "," GA "
" Community and Southern Bank "," GA "
" Fidelity Bank "," GA "
" First American Bank  
      and Trust Company "," GA "
" First American Bank  
    and Trust Company "," GA "
" First Citizens Bank  
    and Trust Company,  
    Inc."," GA "
" Georgia Commerce Bank "," GA "
" Hamilton State Bank "," GA "
" Heritage Bank of the South "," GA "
" HeritageBank of the South "," GA "
" ING DIRECT "," GA "
" Metro City Bank "," GA "
" Morris Bank "," GA "
" No Acquirer "," GA "
" Northeast Georgia Bank "," GA "
" Peoples Bank of East Tennessee "," GA "
" Regions Bank "," GA "
" Renasant Bank "," GA "
" SCBT National Association "," GA "
" State Bank  
      and Trust Company "," GA "
" State Bank  
    and Trust Company "," GA "
" Stearns Bank N.A."," GA "
" Stearns Bank,  
      N.A."," GA "
" Stearns Bank,  
    N.A."," GA "
" Synovus Bank "," GA "
" The Savannah Bank,  
    N.A."," GA "
" United Bank "," GA "
" United Community Bank "," GA "
" Bank of the Orient "," HI "
" Great Southern Bank "," IA "
" Grinnell State Bank "," IA "
" U.S.Bank,  
      N.A."," ID "
" Advantage National Bank Group "," IL "
" Banterra Bank of Marion "," IL "
" Barrington Bank and Trust Company,  
    National Association "," IL "
" Blackhawk Bank and Trust "," IL "
" Chicago Community Bank "," IL "
" First Financial Bank,  
      N.A."," IL "
" First Midwest Bank "," IL "
" First State Bank "," IL "
" FirstMerit Bank,  
    N.A."," IL "
" Galena State Bank  
      and Trust Company "," IL "
" Harris N.A."," IL "
" Heartland Bank 
and Trust Company "," IL "
" Heartland Bank  
    and Trust Company "," IL "
" Hinsdale Bank and Trust Company "," IL "
" Inland Bank and Trust "," IL "
" International Bank of Chicago "," IL "
" Liberty Bank 
and Trust Company "," IL "
" MB Financial Bank,  
      N.A."," IL "
" MB Financial Bank,  
    N.A."," IL "
" Midland States Bank "," IL "
" Morton Community Bank "," IL "
" National Bank "," IL "
" No Acquirer "," IL "
" Northbrook Bank and Trust Company "," IL "
" Old Plank Trail Community Bank, 
National Association "," IL "
" Republic Bank of Chicago "," IL "
" Seaway Bank  
    and Trust Company "," IL "
" State Bank of Lincoln "," IL "
" Superior Federal,  
      FSB "," IL "
" The Carlinville National Bank "," IL "
" The First National Bank of Beardstown "," IL "
" The Harvard State Bank "," IL "
" The Independent BankersBank (TIB) "," IL "
" The PrivateBank  
      and Trust Company "," IL "
" U.S.Bank N.A."," IL "
" United Central Bank "," IL "
" Urban Partnership Bank "," IL "
" Wheaton Bank and Trust "," IL "
" First Financial Bank,  
      N.A."," IN "
" First Merchants Bank,  
    National Association "," IN "
" Old National Bank "," IN "
" Arvest Bank "," KS "
" Bank of Kansas "," KS "
" Citizens Bank and Trust "," KS "
" Enterprise Bank and Trust "," KS "
" Great Southern Bank "," KS "
" Hillcrest Bank,  
    N.A."," KS "
" Metcalf Bank "," KS "
" Simmons First National Bank "," KS "
" The Bennington State Bank "," KS "
" First Financial Bank,  
      N.A."," KY "
" Your Community Bank "," KY "
" First NBC Bank "," LA "
" Sabine State Bank and Trust "," LA "
" People s United Bank"," MA "
" Bank of Essex "," MD "
" Bay Bank,  
    FSB "," MD "
" Manufacturers  
      and Traders Trust Company (M and T Bank) "," MD "
" Manufacturers  
    and Traders Trust Company (M and T Bank) "," MD "
" No Acquirer "," MD "
" Sonabank "," MD "
" Bank of Ann Arbor "," MI "
" Commercial Bank "," MI "
" First Michigan Bank "," MI "
" Level One Bank "," MI "
" Liberty Bank  
    and Trust Company "," MI "
" Monroe Bank and Trust "," MI "
" No Acquirer "," MI "
" Talmer Bank and Trust "," MI "
" The Huntington National Bank "," MI "
" Alerus Financial,  
    N.A."," MN "
" Central Bank "," MN "
" CorTrust Bank N.A."," MN "
" Coulee Bank "," MN "
" Farmers and Merchants Savings Bank "," MN "
" First International Bank  
      and Trust "," MN "
" First Minnesota Bank "," MN "
" First Resource Bank "," MN "
" Great Southern Bank "," MN "
" No Acquirer "," MN "
" PrinsBank "," MN "
" Republic Bank and Trust Company "," MN "
" Roundbank "," MN "
" Stearns Bank,  
      N.A."," MN "
" Bank of Sullivan "," MO "
" BankLiberty "," MO "
" Central Bank of Kansas City "," MO "
" Community First Bank "," MO "
" Great American Bank "," MO "
" Great Southern Bank "," MO "
" Liberty Bank  
      and Trust Company "," MO "
" Metcalf Bank "," MO "
" Midland States Bank "," MO "
" Providence Bank "," MO "
" Regional Missouri Bank "," MO "
" Security Bank "," MO "
" Simmons First National Bank "," MO "
" The Jefferson Bank "," MS "
" Trustmark National Bank "," MS "
" Bank of North Carolina "," NC "
" Capital Bank, 
N.A."," NC "
" CertusBank, 
National Association "," NC "
" First Bank "," NC "
" First Community Bank "," NC "
" First Federal Savings  
      and Loan Association "," NC "
" Great Western Bank "," NE "
" Heritage Bank "," NE "
" Premier Bank "," NE "
" Southern New Hampshire Bank and Trust "," NH "
" Alma Bank "," NJ "
" Crown Bank "," NJ "
" Customers Bank "," NJ "
" No Acquirer "," NJ "
" North Jersey Community Bank "," NJ "
" Northfield Bank "," NJ "
" First American Bank "," NM "
" U.S.Bank,  
    N.A."," NM "
" Bank of Nevada "," NV "
" City National Bank "," NV "
" JP Morgan Chase Bank "," NV "
" Mutual of Omaha Bank "," NV "
" Nevada State Bank "," NV "
" No Acquirer "," NV "
" Plaza Bank "," NV "
" Umpqua Bank "," NV "
"  
    Union  
      State Bank "," NY "
" Evans Bank,  
      N.A."," NY "
" New Century Bank "," NY "
" First Financial Bank,  
      N.A."," OH "
" Foundation Bank "," OH "
" New York Community Bank "," OH "
" North Valley Bank "," OH "
" The Citizens Banking Company "," OH "
" The State Bank and Trust Company "," OH "
" Bank 7 "," OK "
" F and M Bank "," OK "
" Herring Bank "," OK "
" RCB Bank "," OK "
" The Pauls Valley National Bank "," OK "
" Citizens Bank "," OR "
" Home Federal Bank "," OR "
" South Valley Bank and Trust "," OR "
" Washington Trust Bank of Spokane "," OR "
" Allegheny Valley Bank of Pittsburgh "," PA "
" Capital Bank,  
    N.A."," PA "
" Earthstar Bank "," PA "
" No Acquirer "," PA "
" PNC Bank,  
      N.A."," PA "
" Polonia Bank "," PA "
" VIST Bank "," PA "
" Banco Popular de Puerto Rico "," PR "
" Oriental Bank  
      and Trust "," PR "
" Scotiabank de Puerto Rico "," PR "
" Bank of North Carolina "," SC "
" Bank of the Ozarks "," SC "
" CertusBank,  
    National Association "," SC "
" First Citizens Bank  
    and Trust Company,  
    Inc."," SC "
" First Federal Bank "," SC "
" NAFH National Bank "," SC "
" SCBT National Association "," SC "
" Alerus Financial,  
      N.A."," SD "
" CB and S Bank, 
Inc."," TN "
" Clayton Bank 
and Trust "," TN "
" First Tennessee Bank, 
National Association "," TN "
" No Acquirer "," TN "
" Republic Bank and Trust Company "," TN "
" U.S.Bank,  
    N.A."," TN "
" American First National Bank "," TX "
" BBVA Compass "," TX "
" Prosperity Bank "," TX "
" State Bank of Texas "," TX "
" The Pecos County State Bank "," TX "
" The Security State Bank of Pecos "," TX "
" U.S.Bank N.A."," TX "
" Cache Valley Bank "," UT "
" Far West Bank "," UT "
" No Acquirer "," UT "
" River Community Bank,  
    N.A."," VA "
" Sonabank "," VA "
" Southern Bank  
    and Trust Company "," VA "
" Xenith Bank "," VA "
"  
    Union  
      Bank,  
      N.A."," WA "
" Columbia State Bank "," WA "
" East West Bank "," WA "
" First - Citizens Bank and Trust Company "," WA "
" GBC International Bank "," WA "
" Heritage Bank "," WA "
" Kitsap Bank "," WA "
" Sunwest Bank "," WA "
" Umpqua Bank "," WA "
" Whidbey Island Bank "," WA "
" First Michigan Bank "," WI "
" McFarland State Bank "," WI "
" Nicolet National Bank "," WI "
" North Shore Bank, 
FSB "," WI "
" North Shore Bank,  
    FSB "," WI "
" Royal Bank "," WI "
" Seaway Bank  
    and Trust Company "," WI "
" The Park Bank "," WI "
" Tri City National Bank "," WI "
" The Citizens Savings Bank,  
      Pioneer Community Bank,  
      Inc."," WV "
" Central Bank and Trust "," WY "
"First Citizens Bank","AL"
"New York Community Bank","AZ"
"City National Bank","CA"
"First-Citizens Bank and Trust Company","CA"
"OneWest Bank, FSB","CA"
"Centennial Bank","FL"
"First Federal Bank of Florida","FL"
"First-Citizens Bank and Trust Company","FL"
"Landmark Bank, National Association","FL"
"Mutual of Omaha Bank","FL"
"Premier American Bank, N.A.","FL"
"TD Bank, N.A.","FL"
"Bank of Upson","GA"
"Bank of the Ozarks","GA"
"CharterBank","GA"
"Citizens South Bank","GA"
"Community and Southern Bank","GA"
"SCBT National Association","GA"
"Sunwest Bank","ID"
"First American Bank","IL"
"FirstMerit Bank, N.A.","IL"
"Great Southern Bank","IL"
"Heartland Bank and Trust Company","IL"
"Republic Bank of Chicago","IL"
"Home Bank","LA"
"Bay Bank, FSB","MD"
"No Acquirer","MD"
"No Acquirer","MI"
"Community Development Bank, FSB","MN"
"First State Bank of St. Joseph","MN"
"Northern State Bank","MN"
"United Valley Bank","MN"
"Sunflower Bank, N.A.","MO"
"Charter Bank","NM"
"Heritage Bank of Nevada","NV"
"Valley National Bank","NY"
"The National Bank and Trust Company","OH"
"United Fidelity Bank, fsb","OH"
"Alva State Bank and Trust Company","OK"
"BancFirst","OK"
"Columbia State Bank","OR"
"First Choice Bank","PA"
"Bank of North Carolina","SC"
"Palmetto State Bank","SC"
"Community National Bank","TX"
"PlainsCapital Bank","TX"
"Spirit of Texas Bank, SSB","TX"
"No Acquirer","UT"
"WashingtonFirst Bank","VA"
"Columbia State Bank","WA"
"Umpqua Bank","WA"
"Washington Federal Savings and Loan Association","WA"
